2023-05-03 09:17:38 status half-installed libmpfr6:amd64 4.1.0-3
2023-05-03 09:17:38 status unpacked libmpfr6:amd64 4.1.0-3
2023-05-03 09:17:38 install libmpc3:amd64 <none> 1.2.0-1
2023-05-03 09:17:38 status half-installed libmpc3:amd64 1.2.0-1
2023-05-03 09:17:38 status unpacked libmpc3:amd64 1.2.0-1
2023-05-03 09:17:38 install cpp-10:amd64 <none> 10.2.1-6
2023-05-03 09:17:38 status half-installed cpp-10:amd64 10.2.1-6
2023-05-03 09:17:39 status unpacked cpp-10:amd64 10.2.1-6
2023-05-03 09:17:39 install cpp:amd64 <none> 4:10.2.1-1
2023-05-03 09:17:39 status half-installed cpp:amd64 4:10.2.1-1
2023-05-03 09:17:39 status unpacked cpp:amd64 4:10.2.1-1
2023-05-03 09:17:39 install libassuan0:amd64 <none> 2.5.3-7.1
2023-05-03 09:17:39 status half-installed libassuan0:amd64 2.5.3-7.1
2023-05-03 09:17:39 status unpacked libassuan0:amd64 2.5.3-7.1
2023-05-03 09:17:39 install gpgconf:amd64 <none> 2.2.27-2+deb11u2
2023-05-03 09:17:39 status half-installed gpgconf:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:39 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:39 install libksba8:amd64 <none> 1.5.0-3+deb11u2
2023-05-03 09:17:39 status half-installed libksba8:amd64 1.5.0-3+deb11u2
2023-05-03 09:17:39 status unpacked libksba8:amd64 1.5.0-3+deb11u2
2023-05-03 09:17:39 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2023-05-03 09:17:39 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2023-05-03 09:17:39 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2023-05-03 09:17:39 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2023-05-03 09:17:39 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2023-05-03 09:17:39 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2023-05-03 09:17:39 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3+deb11u1
2023-05-03 09:17:39 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2023-05-03 09:17:39 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2023-05-03 09:17:39 install libnpth0:amd64 <none> 1.6-3
2023-05-03 09:17:39 status half-installed libnpth0:amd64 1.6-3
2023-05-03 09:17:39 status unpacked libnpth0:amd64 1.6-3
2023-05-03 09:17:39 install dirmngr:amd64 <none> 2.2.27-2+deb11u2
2023-05-03 09:17:39 status half-installed dirmngr:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:39 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2023-05-03 09:17:39 install libdpkg-perl:all <none> 1.20.12
2023-05-03 09:17:39 status half-installed libdpkg-perl:all 1.20.12
2023-05-03 09:17:39 status unpacked libdpkg-perl:all 1.20.12
2023-05-03 09:17:39 install patch:amd64 <none> 2.7.6-7
2023-05-03 09:17:39 status half-installed patch:amd64 2.7.6-7
2023-05-03 09:17:39 status unpacked patch:amd64 2.7.6-7
2023-05-03 09:17:39 install make:amd64 <none> 4.3-4.1
