ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4df0-policy_DotProd1000demergemd30cc-de_merge-gs_random-scmd_30cc-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4df0-policy_DotProd1000demergemd30cc-de_merge-gs_random-scmd_30cc-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4df0-policy_DotProd1000demergemd30cc-de_merge-gs_random-scmd_30cc-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4df0-policy_DotProd1000demergemd30cc-de_merge-gs_random-scmd_30cc-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4df0-policy_DotProd1000demergemd30cc-de_merge-gs_random-scmd_30cc-bellman_ratio
344574.08,5.55,0.38,171755.33,2.77
344007.37,5.54,0.37,171062.76,2.75
344993.14,5.56,0.38,171504.85,2.76
345108.11,5.56,0.39,171547.15,2.76
348901.21,5.62,0.45,174819.78,2.82
349277.81,5.63,0.45,174775.58,2.81
349221.95,5.63,0.45,174524.17,2.81
349499.22,5.63,0.46,175586.51,2.83
349950.89,5.64,0.47,175421.84,2.83
349299.96,5.63,0.46,174770.91,2.82
349768.58,5.64,0.47,174686.87,2.82
350237.21,5.65,0.47,174602.84,2.81
350705.84,5.65,0.48,174518.81,2.81
350227.95,5.65,0.48,173977.23,2.81
351743.77,5.67,0.5,174187.51,2.81
351177.07,5.66,0.49,173624.21,2.8
352527.83,5.69,0.51,174601.13,2.82
352805.11,5.69,0.52,175663.47,2.83
353273.73,5.7,0.53,175579.44,2.83
354207.88,5.72,0.54,176034.63,2.84
354604.47,5.72,0.55,176293.83,2.84
355405.2,5.74,0.56,176478.22,2.85
357205.94,5.77,0.59,177662.61,2.87
358023.17,5.78,0.61,177890.57,2.87
358491.8,5.79,0.62,177806.53,2.87
358453.91,5.79,0.61,177704.96,2.87
358922.53,5.8,0.62,177620.93,2.87
359024.64,5.8,0.63,177659.35,2.87
359301.92,5.8,0.63,178721.69,2.89
360287.68,5.82,0.65,179163.79,2.89
361104.91,5.83,0.66,179391.74,2.9
360538.21,5.83,0.65,178699.17,2.89
361523.97,5.84,0.67,179141.26,2.89
360856.08,5.83,0.66,178409.69,2.88
361656.81,5.85,0.67,178594.08,2.89
363402.72,5.87,0.7,180192.75,2.91
362734.82,5.86,0.69,179461.18,2.9
362258.33,5.86,0.69,178957.61,2.89
363244.09,5.87,0.7,179399.71,2.9
363733.63,5.88,0.71,179323.31,2.9
363706.92,5.88,0.71,179170.75,2.9
364722.64,5.9,0.73,179788.84,2.91
364619.19,5.9,0.73,179675.18,2.91
364052.48,5.89,0.72,178982.61,2.9
363574.59,5.88,0.71,178441.04,2.89
364139.62,5.89,0.72,178787.34,2.89
364112.91,5.89,0.72,178634.77,2.89
364930.15,5.91,0.74,178862.72,2.9
365398.77,5.92,0.74,178778.69,2.89
365888.31,5.93,0.75,178651.89,2.89
365411.81,5.92,0.75,178148.33,2.89
365863.48,5.93,0.75,177983.65,2.88
366664.22,5.94,0.77,178168.05,2.89
366627.51,5.94,0.77,178005.48,2.88
366128.71,5.93,0.76,177456.26,2.88
365460.81,5.92,0.75,176724.69,2.86
366278.05,5.94,0.76,176952.64,2.87
365589.24,5.93,0.75,176263.83,2.86
366040.91,5.94,0.76,176099.16,2.86
366065.88,5.94,0.76,176051.46,2.85
366180.86,5.94,0.77,176093.76,2.86
367166.62,5.95,0.78,176535.85,2.86
368912.52,5.98,0.81,178134.52,2.89
368436.02,5.98,0.8,177630.96,2.88
367785.09,5.97,0.79,176980.03,2.87
367748.38,5.97,0.79,176817.46,2.87
368565.62,5.98,0.81,177045.41,2.87
368089.12,5.97,0.8,176541.85,2.87
368052.41,5.97,0.8,176379.29,2.86
368521.04,5.98,0.81,176295.25,2.86
369338.27,6.0,0.82,176523.21,2.87
369301.57,6.0,0.82,176360.64,2.86
369770.2,6.0,0.83,176276.61,2.86
369309.26,6.0,0.83,175815.67,2.86
369586.54,6.0,0.83,176878.02,2.87
370519.14,6.02,0.85,177129.93,2.88
370796.41,6.02,0.85,178192.28,2.9
371265.04,6.03,0.86,178108.24,2.89
371733.67,6.04,0.87,178024.21,2.89
372799.52,6.06,0.89,177784.52,2.89
372323.02,6.05,0.88,177280.96,2.88
371845.13,6.05,0.87,176739.38,2.87
372830.89,6.06,0.89,177181.48,2.88
374346.72,6.09,0.92,177391.76,2.89
374424.86,6.09,0.92,177534.23,2.89
374893.48,6.1,0.93,177450.2,2.89
375710.72,6.11,0.94,177678.15,2.89
375234.22,6.11,0.93,177174.59,2.88
375723.76,6.11,0.94,177047.79,2.88
375588.73,6.11,0.94,176840.09,2.88
375613.71,6.11,0.94,176792.39,2.88
375135.81,6.11,0.93,176250.82,2.87
375953.05,6.12,0.95,176478.77,2.87
376938.81,6.14,0.96,176920.86,2.88
377407.44,6.15,0.97,176836.83,2.88
378208.17,6.16,0.99,177021.22,2.88
378676.8,6.17,1.0,176937.19,2.88
379166.34,6.18,1.0,176860.8,2.88
379634.97,6.19,1.01,176776.76,2.88
380103.59,6.19,1.02,176692.73,2.88
381089.35,6.21,1.04,177134.82,2.89
382075.12,6.23,1.06,177576.91,2.89
382038.41,6.23,1.06,177414.34,2.89
382839.15,6.24,1.07,177598.74,2.9
383307.77,6.25,1.08,177514.7,2.89
383759.44,6.26,1.09,177350.03,2.89
383619.41,6.26,1.08,176967.5,2.89
384420.15,6.27,1.1,177151.89,2.89
384888.77,6.28,1.11,177067.86,2.89
385357.4,6.29,1.12,176983.83,2.89
386158.13,6.3,1.13,177168.22,2.89
386626.76,6.31,1.14,177084.19,2.89
387078.43,6.32,1.15,176919.51,2.89
387879.16,6.33,1.16,177103.9,2.89
388864.93,6.35,1.18,177545.99,2.9
388607.03,6.35,1.17,177224.42,2.89
389075.66,6.36,1.18,177140.39,2.89
389527.33,6.36,1.19,176975.71,2.89
389049.44,6.36,1.18,176434.14,2.88
389866.67,6.37,1.2,176662.09,2.89
389198.78,6.36,1.19,175930.51,2.88
389999.51,6.38,1.2,176114.9,2.88
391065.37,6.39,1.22,175875.21,2.88
391028.67,6.39,1.22,175712.65,2.87
392544.49,6.42,1.25,175922.93,2.88
392433.56,6.42,1.25,175811.99,2.88
392923.1,6.43,1.25,175685.19,2.87
393723.84,6.44,1.27,175869.58,2.88
394709.6,6.46,1.29,176311.68,2.88
395199.14,6.47,1.29,176235.28,2.88
396549.91,6.49,1.32,177212.2,2.9
396073.41,6.48,1.31,176708.64,2.89
396874.14,6.5,1.32,176893.03,2.9
396837.44,6.5,1.32,176730.47,2.89
396726.5,6.49,1.32,176619.53,2.89
397195.13,6.5,1.33,176535.5,2.89
397663.76,6.51,1.34,176451.47,2.89
398132.38,6.52,1.35,176367.44,2.89
397633.58,6.51,1.34,175868.63,2.88
397066.87,6.51,1.33,175176.06,2.87
397867.61,6.52,1.35,175360.45,2.87
399218.37,6.54,1.37,176337.37,2.89
398741.87,6.53,1.36,175833.81,2.88
399210.5,6.54,1.37,175749.78,2.88
399487.77,6.55,1.38,176812.12,2.9
399009.88,6.54,1.37,176270.55,2.89
399287.16,6.55,1.38,177332.89,2.91
400802.98,6.57,1.4,177543.17,2.91
402318.81,6.6,1.43,177753.45,2.92
402787.44,6.61,1.44,177669.42,2.92
403256.06,6.62,1.44,177585.39,2.91
402588.17,6.61,1.44,176853.81,2.9
402865.45,6.61,1.44,177916.16,2.92
402366.64,6.61,1.43,177366.94,2.91
402732.38,6.61,1.44,177747.82,2.92
403128.98,6.62,1.45,178007.02,2.92
402988.95,6.62,1.44,177866.99,2.92
404504.78,6.64,1.47,178077.27,2.92
403836.88,6.63,1.46,177345.7,2.91
403168.99,6.62,1.45,176614.12,2.9
404154.75,6.64,1.47,177056.21,2.91
405955.49,6.67,1.5,178240.6,2.93
405477.6,6.66,1.49,177699.03,2.92
404809.71,6.65,1.48,176967.45,2.91
405626.94,6.67,1.49,177195.41,2.91
405741.91,6.67,1.5,177237.71,2.91
405496.89,6.67,1.49,176920.01,2.91
406482.65,6.68,1.51,177362.1,2.92
406004.76,6.68,1.5,176820.52,2.91
406990.52,6.69,1.52,177262.61,2.91
406512.63,6.69,1.51,176721.04,2.91
406034.74,6.68,1.51,176179.46,2.9
406835.47,6.69,1.52,176363.85,2.9
407304.1,6.7,1.53,176279.82,2.9
408289.86,6.72,1.55,176721.91,2.91
409090.59,6.73,1.56,176906.3,2.91
412883.7,6.79,1.62,180178.93,2.97
413373.24,6.8,1.63,180052.13,2.96
412912.31,6.8,1.62,179591.2,2.96
412434.41,6.79,1.62,179049.62,2.95
411745.61,6.78,1.61,178360.81,2.94
412235.15,6.79,1.62,178284.42,2.94
415662.51,6.85,1.67,181176.17,2.98
415186.01,6.84,1.67,180672.61,2.98
415675.55,6.85,1.68,180596.21,2.98
415176.75,6.84,1.67,180047.0,2.97
415666.29,6.85,1.68,179920.2,2.96
415188.4,6.84,1.67,179378.62,2.96
415677.94,6.85,1.68,179302.23,2.96
416495.17,6.87,1.69,179530.18,2.96
416017.28,6.86,1.69,178988.61,2.95
416485.91,6.87,1.7,178904.57,2.95
416954.53,6.88,1.7,178820.54,2.95
416286.64,6.87,1.69,178088.97,2.94
415808.75,6.86,1.69,177547.39,2.93
415140.86,6.85,1.68,176815.82,2.92
414664.36,6.84,1.67,176312.25,2.91
415132.99,6.85,1.68,176228.22,2.91
415950.22,6.87,1.69,176456.17,2.91
416935.98,6.88,1.71,176898.27,2.92
417213.26,6.89,1.72,177960.61,2.94
416545.37,6.88,1.71,177229.03,2.93
418061.19,6.91,1.73,177439.31,2.93
417562.39,6.9,1.73,176940.51,2.92
417063.58,6.89,1.72,176391.29,2.91
416564.77,6.88,1.71,175842.08,2.91
417033.4,6.89,1.72,175758.04,2.9
417834.13,6.91,1.73,175942.44,2.91
418819.9,6.92,1.75,176384.53,2.92
419620.63,6.94,1.77,176568.92,2.92
420089.26,6.95,1.77,176484.89,2.92
420578.8,6.96,1.78,176358.09,2.92
421047.43,6.96,1.79,176274.05,2.92
421516.05,6.97,1.8,176190.02,2.91
421922.38,6.98,1.81,176572.32,2.92
422215.77,6.99,1.81,176067.96,2.91
422574.84,6.99,1.82,176319.38,2.92
424548.22,7.03,1.85,178594.07,2.96
425094.81,7.03,1.86,179003.27,2.96
425043.09,7.04,1.86,178889.62,2.96
425090.58,7.04,1.86,178590.26,2.96
425063.87,7.04,1.86,178437.69,2.95
425012.15,7.04,1.86,178437.69,2.95
424960.42,7.04,1.86,178434.26,2.95
424908.7,7.04,1.86,178324.04,2.95
424341.99,7.03,1.86,177760.73,2.94
423653.19,7.02,1.85,177071.93,2.93
423154.38,7.01,1.84,176522.71,2.92
424903.67,7.04,1.87,178143.31,2.95
424525.52,7.04,1.86,177639.29,2.94
424473.79,7.04,1.86,177525.63,2.94
424844.51,7.04,1.87,177968.66,2.95
424277.81,7.03,1.86,177276.1,2.94
423915.37,7.03,1.86,176893.06,2.93
423863.64,7.03,1.86,176889.63,2.93
424136.05,7.03,1.86,177085.44,2.94
424084.32,7.04,1.86,177055.39,2.94
423607.83,7.03,1.86,176551.83,2.93
423556.1,7.03,1.86,176468.22,2.93
423504.38,7.03,1.86,176354.57,2.93
423368.8,7.03,1.85,176234.94,2.93
422802.09,7.02,1.85,175542.37,2.91
422324.2,7.01,1.84,175000.8,2.91
422844.43,7.02,1.85,175634.3,2.92
422686.35,7.02,1.85,175391.4,2.91
422634.63,7.02,1.85,175387.96,2.91
422416.74,7.02,1.84,175106.39,2.91
422365.01,7.02,1.84,174996.17,2.91
421887.12,7.01,1.84,174454.59,2.9
421409.23,7.0,1.83,173913.02,2.89
421372.53,7.0,1.83,173750.45,2.89
421320.8,7.0,1.83,173636.8,2.89
421269.08,7.0,1.83,173636.8,2.89
421217.35,7.0,1.83,173616.33,2.89
421165.63,7.0,1.83,173523.14,2.89
420598.93,6.99,1.82,172959.83,2.88
420547.2,7.0,1.82,172956.39,2.88
420495.48,7.0,1.82,172846.18,2.88
420901.81,7.0,1.83,173228.48,2.88
420850.08,7.0,1.83,173225.04,2.88
420850.08,7.0,1.83,173225.04,2.88
421122.49,7.01,1.84,173420.85,2.89
421070.77,7.01,1.84,173417.41,2.89
421019.04,7.01,1.84,173307.2,2.89
420801.15,7.01,1.83,173025.62,2.88
420324.65,7.0,1.83,172522.06,2.87
420272.93,7.0,1.83,172518.62,2.87
420221.2,7.0,1.83,172408.4,2.87
420169.48,7.0,1.83,172294.75,2.87
420117.76,7.0,1.83,172294.75,2.87
420066.03,7.0,1.83,172264.71,2.87
420522.09,7.01,1.84,172487.08,2.87
420470.37,7.01,1.84,172403.47,2.87
421430.46,7.03,1.85,172856.77,2.88
420741.66,7.02,1.84,172167.96,2.87
420689.93,7.02,1.84,172054.31,2.87
420638.21,7.02,1.84,172054.31,2.87
421044.54,7.02,1.85,172436.61,2.88
421949.52,7.04,1.87,173390.17,2.89
421897.8,7.04,1.87,173369.71,2.89
421690.9,7.04,1.87,173306.99,2.89
421639.17,7.04,1.87,173213.8,2.89
421394.15,7.04,1.87,172896.1,2.89
421350.82,7.04,1.87,172863.13,2.89
421192.27,7.04,1.86,172704.58,2.89
420908.4,7.03,1.86,172443.97,2.88
420749.85,7.03,1.86,172287.57,2.88
420698.12,7.03,1.86,172173.92,2.88
420646.4,7.03,1.86,172173.92,2.88
419646.4,7.01,1.84,171173.92,2.86
419594.67,7.01,1.84,171060.26,2.86
420001.0,7.02,1.85,171442.56,2.87
421296.82,7.04,1.87,171935.28,2.87
421245.1,7.04,1.87,171935.28,2.88
421651.43,7.05,1.88,172317.58,2.88
422623.11,7.07,1.9,172615.57,2.89
422571.39,7.07,1.9,172595.1,2.89
422519.66,7.07,1.9,172501.91,2.89
422467.94,7.07,1.9,172481.44,2.89
422416.22,7.07,1.9,172388.26,2.89
421748.32,7.06,1.89,171656.68,2.87
421080.43,7.05,1.88,170925.11,2.86
420786.3,7.05,1.87,170649.08,2.86
420734.58,7.05,1.87,170648.27,2.86
420382.71,7.04,1.87,170030.8,2.85
419917.68,7.03,1.86,169493.1,2.84
420288.4,7.04,1.87,169472.78,2.84
420437.1,7.04,1.87,169475.43,2.84
420172.45,7.04,1.87,169988.62,2.85
420576.22,7.05,1.88,170194.54,2.85
420147.76,7.04,1.87,169331.17,2.84
420096.03,7.04,1.87,169459.0,2.84
419620.87,7.04,1.86,169034.43,2.83
419286.54,7.03,1.86,168761.75,2.83
419563.81,7.04,1.86,169824.09,2.85
419106.03,7.03,1.86,169410.79,2.84
420621.86,7.06,1.88,169621.07,2.85
420570.13,7.06,1.88,169627.64,2.85
420842.54,7.06,1.89,169590.9,2.85
420187.51,7.05,1.88,168863.21,2.83
420738.56,7.06,1.89,169929.35,2.85
420299.93,7.06,1.88,169370.66,2.84
420444.62,7.06,1.89,169133.91,2.84
420717.02,7.06,1.89,169136.41,2.84
420166.99,7.06,1.88,168586.38,2.83
420115.27,7.06,1.88,168553.71,2.83
420173.21,7.06,1.89,169150.94,2.84
420123.21,7.06,1.89,169100.94,2.84
419987.69,7.06,1.88,168821.17,2.84
420488.65,7.07,1.89,169628.77,2.85
420894.98,7.07,1.9,170011.07,2.86
422190.79,7.1,1.92,170503.79,2.87
421535.77,7.09,1.91,169776.09,2.85
422010.86,7.09,1.92,170428.43,2.87
422283.26,7.1,1.93,170430.93,2.87
422255.28,7.1,1.93,170426.16,2.87
422289.48,7.1,1.93,170997.48,2.88
422316.64,7.1,1.93,170867.39,2.87
422264.92,7.1,1.93,170754.29,2.87
422213.19,7.1,1.93,170754.29,2.87
422161.47,7.1,1.93,170753.48,2.87
422298.29,7.11,1.94,170800.16,2.87
422298.29,7.11,1.94,170800.16,2.87
422270.31,7.11,1.94,170789.69,2.88
422726.95,7.12,1.94,171514.92,2.89
422594.62,7.12,1.94,171184.29,2.88
422044.6,7.11,1.94,170391.76,2.87
421750.46,7.1,1.93,170108.41,2.87
421734.35,7.1,1.93,169505.12,2.86
421866.35,7.11,1.94,170529.16,2.87
421726.32,7.11,1.93,170146.63,2.87
422403.54,7.12,1.95,169998.5,2.87
422495.54,7.12,1.95,170108.19,2.87
423498.51,7.14,1.97,170572.99,2.88
423770.92,7.15,1.97,170575.49,2.88
423719.19,7.15,1.97,170542.83,2.88
423064.16,7.14,1.96,169815.13,2.86
423122.11,7.14,1.97,170412.36,2.87
422986.59,7.14,1.96,170132.58,2.87
422934.86,7.14,1.96,170092.59,2.87
422934.86,7.14,1.96,170092.59,2.87
423329.32,7.14,1.97,170134.94,2.87
422937.82,7.14,1.97,169748.91,2.86
423062.77,7.14,1.97,170350.88,2.88
423028.24,7.14,1.97,170315.5,2.88
422435.35,7.13,1.96,169559.01,2.86
422419.24,7.13,1.96,169665.02,2.87
422605.57,7.14,1.97,169806.41,2.87
423999.69,7.16,1.99,170380.68,2.88
423534.67,7.16,1.98,169842.98,2.87
423069.64,7.15,1.98,169305.28,2.86
422604.61,7.14,1.97,168767.58,2.85
422588.5,7.14,1.97,168996.96,2.86
423519.54,7.16,1.99,169141.4,2.86
423287.47,7.16,1.98,169365.49,2.86
422870.49,7.15,1.98,168799.0,2.85
422533.64,7.15,1.97,168494.61,2.85
422290.53,7.14,1.97,168259.88,2.85
422708.71,7.15,1.98,168698.7,2.85
423115.05,7.16,1.98,169081.0,2.86
422701.25,7.16,1.99,169080.41,2.86
422871.35,7.16,1.99,169460.23,2.87
423843.04,7.18,2.01,169758.21,2.88
423258.02,7.17,2.0,169140.74,2.87
423535.3,7.18,2.01,170203.08,2.88
423618.72,7.18,2.01,170863.41,2.9
424963.18,7.2,2.03,170763.45,2.89
425333.89,7.21,2.04,170787.5,2.9
424748.88,7.2,2.03,170170.03,2.89
425273.14,7.21,2.04,170879.88,2.9
425643.86,7.22,2.05,171009.06,2.9
425702.72,7.22,2.05,171498.93,2.91
425651.0,7.22,2.05,171651.68,2.91
425020.26,7.21,2.04,170895.19,2.9
424968.54,7.21,2.04,170763.14,2.9
424916.81,7.21,2.04,170650.04,2.9
425053.64,7.22,2.04,170836.22,2.9
424875.31,7.21,2.04,170258.23,2.89
424512.87,7.21,2.04,169923.2,2.89
424461.14,7.21,2.04,169902.88,2.89
424461.14,7.21,2.04,169902.88,2.89
424409.42,7.21,2.04,169810.1,2.88
423995.62,7.21,2.04,169810.1,2.89
423943.9,7.21,2.04,169697.0,2.89
424314.62,7.22,2.05,170138.37,2.89
424262.89,7.22,2.05,170025.26,2.89
424399.72,7.22,2.05,170211.44,2.9
424348.0,7.22,2.05,170208.2,2.9
423985.55,7.22,2.04,169826.83,2.89
423933.83,7.22,2.04,169716.97,2.89
423882.11,7.22,2.04,169603.86,2.89
423830.38,7.22,2.05,169603.86,2.89
423778.66,7.22,2.05,169574.37,2.89
424149.38,7.22,2.05,169885.79,2.89
423494.35,7.21,2.04,169158.09,2.88
423249.32,7.21,2.04,168840.39,2.88
423197.6,7.21,2.04,168727.29,2.88
423145.87,7.21,2.04,168727.29,2.88
423037.24,7.21,2.04,168757.52,2.88
422985.52,7.21,2.04,168644.42,2.88
422933.79,7.21,2.04,168644.42,2.88
422571.35,7.21,2.03,168309.39,2.87
422519.63,7.21,2.03,168306.15,2.87
422105.83,7.21,2.04,168306.15,2.87
422054.11,7.21,2.04,168196.29,2.87
422507.48,7.22,2.05,168322.84,2.88
422455.76,7.22,2.05,168553.12,2.88
421980.66,7.21,2.04,168113.19,2.87
421980.66,7.21,2.04,168113.19,2.87
421928.94,7.21,2.04,168000.09,2.87
422065.76,7.21,2.04,168186.26,2.87
422436.48,7.22,2.05,168186.26,2.88
422807.2,7.23,2.06,168616.56,2.88
422755.47,7.23,2.06,168750.62,2.89
422703.75,7.23,2.06,168976.32,2.89
422652.03,7.23,2.06,168956.0,2.89
422652.03,7.23,2.06,168956.0,2.89
422600.3,7.23,2.06,168863.22,2.89
422548.58,7.23,2.06,168750.11,2.89
422496.85,7.23,2.06,168750.11,2.89
422445.13,7.23,2.06,168720.62,2.89
422393.41,7.23,2.06,168637.01,2.89
422341.68,7.23,2.06,168616.7,2.89
421979.24,7.23,2.05,168326.98,2.88
421979.24,7.23,2.05,168326.98,2.88
421927.52,7.23,2.05,168234.2,2.88
421713.47,7.22,2.05,168001.22,2.88
422084.19,7.23,2.06,168130.4,2.88
422221.01,7.23,2.06,168424.76,2.89
422169.29,7.23,2.06,168395.27,2.89
422169.29,7.23,2.06,168395.27,2.89
422169.29,7.23,2.06,168395.27,2.89
422117.57,7.23,2.06,168311.66,2.88
422065.84,7.23,2.06,168246.66,2.88
422014.12,7.23,2.06,168198.56,2.88
421962.39,7.24,2.06,168133.56,2.88
421910.67,7.24,2.06,168085.46,2.88
421858.95,7.24,2.06,168065.14,2.88
421807.22,7.24,2.06,167972.36,2.88
421807.22,7.24,2.06,167972.36,2.88
422132.59,7.24,2.07,167859.25,2.88
422080.86,7.24,2.07,168242.25,2.89
421866.82,7.24,2.07,168103.05,2.88
421815.09,7.24,2.07,168099.81,2.89
421951.92,7.24,2.07,168168.67,2.89
421900.2,7.24,2.07,168139.18,2.89
421848.47,7.24,2.07,168055.57,2.89
421796.75,7.24,2.07,168052.33,2.89
421796.75,7.24,2.07,168052.33,2.89
421796.75,7.24,2.07,168052.33,2.89
421745.02,7.24,2.07,167942.47,2.88
421693.3,7.25,2.07,167830.23,2.88
421641.57,7.25,2.07,167829.36,2.88
421453.04,7.24,2.07,167632.54,2.88
421589.86,7.25,2.07,167755.16,2.88
421960.58,7.25,2.08,167755.16,2.88
422097.41,7.26,2.08,167876.88,2.89
422045.68,7.26,2.08,167763.78,2.88
422045.68,7.26,2.08,167763.78,2.88
421993.96,7.26,2.08,167763.78,2.89
421942.23,7.26,2.08,167763.78,2.89
421728.19,7.25,2.08,167986.18,2.89
422098.91,7.26,2.09,168105.83,2.89
421967.18,7.26,2.09,167763.78,2.89
422292.54,7.27,2.09,168649.74,2.9
422429.37,7.27,2.1,168772.35,2.9
422377.65,7.27,2.1,168722.81,2.9
422514.47,7.27,2.1,168845.42,2.91
422885.19,7.28,2.11,169146.35,2.91
422522.75,7.27,2.1,168857.03,2.91
422893.47,7.28,2.11,168857.03,2.91
422841.74,7.28,2.11,168857.03,2.91
422978.57,7.28,2.11,168857.03,2.91
422641.48,7.28,2.11,168475.61,2.9
422589.75,7.28,2.11,169101.13,2.91
422379.04,7.28,2.1,168924.48,2.91
422327.31,7.28,2.1,168812.24,2.91
422599.72,7.28,2.11,169136.66,2.91
422441.32,7.28,2.11,168979.29,2.91
422078.88,7.27,2.1,168588.93,2.91
422027.16,7.27,2.1,168568.61,2.91
421975.43,7.27,2.1,168475.83,2.9
422337.59,7.28,2.11,168362.73,2.9
422474.41,7.28,2.11,168973.66,2.91
422422.69,7.29,2.11,168860.56,2.91
422370.97,7.29,2.11,168860.56,2.91
422319.24,7.29,2.11,168840.24,2.91
422267.52,7.29,2.11,168747.45,2.91
422638.23,7.29,2.12,168876.63,2.91
422638.23,7.29,2.12,168876.63,2.91
423008.95,7.3,2.13,169565.93,2.93
423281.36,7.31,2.13,169629.83,2.93
423122.96,7.3,2.13,169471.95,2.93
423071.24,7.3,2.13,169600.98,2.93
423019.51,7.3,2.13,169580.67,2.93
423156.34,7.31,2.14,169666.6,2.93
423104.62,7.31,2.14,169558.28,2.93
422742.17,7.3,2.13,169066.45,2.92
422690.45,7.3,2.13,169061.67,2.92
422638.73,7.3,2.13,169041.35,2.92
422286.28,7.3,2.12,168731.61,2.92
422664.97,7.3,2.13,169089.86,2.92
422613.25,7.3,2.13,168976.76,2.92
422319.12,7.3,2.13,168681.47,2.92
422267.39,7.3,2.13,168681.47,2.92
421906.98,7.29,2.12,168300.43,2.91
421855.26,7.3,2.12,168188.19,2.91
421803.53,7.3,2.12,168187.33,2.91
421940.36,7.3,2.13,168309.94,2.91
421888.63,7.3,2.13,168252.95,2.91
421836.91,7.3,2.13,168249.71,2.91
422207.63,7.31,2.13,168534.87,2.92
422155.9,7.31,2.13,168426.55,2.92
422104.18,7.31,2.14,168421.77,2.92
422052.45,7.31,2.14,168418.53,2.92
422000.73,7.31,2.14,168308.67,2.91
421949.01,7.31,2.14,168279.18,2.91
421535.21,7.31,2.14,168279.18,2.92
421672.04,7.32,2.14,168374.29,2.92
421620.32,7.32,2.14,168371.05,2.92
421568.59,7.32,2.14,168261.19,2.92
421516.87,7.32,2.14,168148.09,2.92
421465.14,7.32,2.14,168148.09,2.92
421790.51,7.32,2.15,168034.99,2.92
421631.96,7.32,2.15,167889.82,2.91
421580.23,7.32,2.15,168272.82,2.92
421528.51,7.32,2.15,168243.33,2.92
421321.61,7.32,2.15,168243.33,2.92
421269.89,7.32,2.15,168159.72,2.92
421542.3,7.33,2.16,168223.61,2.92
421179.85,7.32,2.15,167888.58,2.92
420988.86,7.32,2.15,167688.9,2.92
420937.13,7.32,2.15,167837.2,2.92
420885.41,7.32,2.15,167816.88,2.92
420885.41,7.32,2.15,167816.88,2.92
420833.68,7.32,2.15,167724.09,2.92
420781.96,7.32,2.15,167703.78,2.92
420781.96,7.32,2.15,167703.78,2.92
420730.24,7.32,2.15,167610.99,2.92
420867.06,7.33,2.15,167733.61,2.92
420815.34,7.33,2.15,167676.61,2.92
420763.61,7.33,2.15,167564.37,2.92
420469.48,7.32,2.15,167288.35,2.91
420417.76,7.32,2.15,167287.48,2.91
420366.03,7.32,2.15,167174.38,2.91
420314.31,7.32,2.15,167174.38,2.91
420027.22,7.32,2.15,166881.39,2.91
419917.22,7.32,2.14,166771.39,2.91
419865.5,7.32,2.14,166790.37,2.91
419813.77,7.32,2.14,166658.28,2.9
420184.49,7.32,2.15,166787.46,2.91
420184.49,7.32,2.15,166787.46,2.91
420132.77,7.32,2.15,166940.21,2.91
420458.13,7.33,2.16,166827.11,2.91
420406.41,7.33,2.16,167210.14,2.92
420247.86,7.33,2.16,167051.36,2.91
419885.42,7.32,2.15,166716.33,2.91
419591.28,7.32,2.15,166421.05,2.9
419962.0,7.32,2.15,166550.22,2.9
419910.28,7.33,2.15,166749.38,2.91
420182.69,7.33,2.16,166813.27,2.91
420130.96,7.33,2.16,166942.3,2.91
420456.33,7.34,2.17,166829.2,2.91
420728.73,7.34,2.17,167556.36,2.92
420728.73,7.34,2.17,167556.36,2.92
420677.01,7.34,2.17,167536.04,2.92
420625.28,7.34,2.17,167443.26,2.92
420573.56,7.34,2.17,167440.02,2.92
420521.84,7.34,2.17,167330.16,2.92
420794.24,7.35,2.18,167394.05,2.92
420742.52,7.35,2.18,167542.34,2.93
420690.79,7.35,2.18,167539.1,2.93
420639.07,7.35,2.18,167429.24,2.93
420775.9,7.35,2.18,167551.86,2.93
420724.17,7.36,2.18,167494.86,2.93
420861.0,7.36,2.19,167617.48,2.93
420997.82,7.36,2.19,167739.21,2.93
420660.73,7.36,2.18,167396.17,2.93
420660.73,7.36,2.18,167396.17,2.93
420298.29,7.35,2.18,167014.74,2.92
420435.12,7.35,2.18,167137.35,2.92
420383.39,7.35,2.18,167080.36,2.92
420520.22,7.36,2.19,167202.97,2.93
420657.05,7.36,2.19,167324.7,2.93
420605.32,7.36,2.19,167304.38,2.93
420553.6,7.36,2.19,167211.6,2.93
420690.42,7.37,2.19,167334.22,2.93
420690.42,7.37,2.19,167334.22,2.93
420638.7,7.37,2.19,167277.22,2.93
420434.57,7.36,2.19,167071.93,2.93
420382.84,7.36,2.19,166963.61,2.92
420753.56,7.37,2.2,167400.2,2.93
420701.84,7.37,2.2,167287.1,2.93
420838.66,7.37,2.2,167473.27,2.93
420786.94,7.37,2.2,167452.95,2.93
420564.06,7.37,2.2,167220.42,2.93
420836.47,7.38,2.2,167452.93,2.94
